"","year","month","attendance_statistic","value"
"1","2019","1","attendance_rate_percent",95.95
"2","2019","1","student_add",22
"3","2019","1","student_drop",12
"4","2019","1","number_of_students",973
"5","2019","2","attendance_rate_percent",96.45
"6","2019","2","student_add",8
"7","2019","2","student_drop",22
"8","2019","2","number_of_students",969
"9","2019","3","attendance_rate_percent",95
"10","2019","3","student_add",15
"11","2019","3","student_drop",13
"12","2019","3","number_of_students",962
"13","2019","4","attendance_rate_percent",93.66
"14","2019","4","student_add",8
"15","2019","4","student_drop",19
"16","2019","4","number_of_students",957
"17","2019","5","attendance_rate_percent",93.64
"18","2019","5","student_add",8
"19","2019","5","student_drop",19
"20","2019","5","number_of_students",946
"21","2020","1","attendance_rate_percent",88.58
"22","2020","1","student_add",20
"23","2020","1","student_drop",6
"24","2020","1","number_of_students",929
"25","2020","2","attendance_rate_percent",88.59
"26","2020","2","student_add",17
"27","2020","2","student_drop",6
"28","2020","2","number_of_students",939
"29","2020","3","attendance_rate_percent",94.32
"30","2020","3","student_add",7
"31","2020","3","student_drop",4
"32","2020","3","number_of_students",940
"33","2020","4","attendance_rate_percent",94.62
"34","2020","4","student_add",8
"35","2020","4","student_drop",6
"36","2020","4","number_of_students",944
"37","2020","5","attendance_rate_percent",92.52
"38","2020","5","student_add",1
"39","2020","5","student_drop",6
"40","2020","5","number_of_students",939
